Allegheny Blackberry,Rubus allegheniensis
Allegheny Service-Berry,Amelanchier laevis
Allegheny-Vine,Adlumia fungosa
Alpine Violet,Viola labradorica
Alternate-Leaf Dogwood,Cornus alternifolia
American Basswood,Tilia americana
American Beach Grass,Ammophila breviligulata
American Beech,Fagus grandifolia
American Bittersweet,Celastrus scandens
American Bladdernut,Staphylea trifolia
American Burr-Reed,Sparganium americanum
American Chestnut,Castanea dentata
American Eel-Grass,Vallisneria americana
American Elm,Ulmus americana
American Fly-Honeysuckle,Lonicera canadensis
American Hazelnut,Corylus americana
American Hog-Peanut,Amphicarpaea bracteata
American Hornbeam,Carpinus caroliniana
American Larch,Larix laricina
American Manna Grass,Glyceria grandis
American Plum,Prunus americana
American Pokeweed,Phytolacca americana
American Searocket,Cakile edentula
American Spikenard,Aralia racemosa
American Strawberry-Bush,Euonymus americanus
American Sycamore,Platanus occidentalis
American Wild Mint,Mentha arvensis
American Witch-Hazel,Hamamelis virginiana
American Yew,Taxus canadensis
Anise-Scented Goldenrod,Solidago odora
Annual Ragweed,Ambrosia artemisiifolia
Arrow-Leaf Tearthumb,Persicaria sagittata
Ash-Leaf Maple,Acer negundo
Atlantic Ninebark,Physocarpus opulifolius
Balsam Fir,Abies balsamea
Bastard-Toadflax,Comandra umbellata
Beaked Hazelnut,Corylus cornuta
Biennial Evening-Primrose,Oenothera gaura
Bird-Foot Violet,Viola pedata
Bitter-Nut Hickory,Carya cordiformis
Black Ash,Fraxinus nigra
Black Bugbane,Actaea racemosa
Black Cherry,Prunus serotina
Black Chokeberry,Aronia melanocarpa
Black Huckleberry,Gaylussacia baccata
Black Maple,Acer nigrum
Black Raspberry,Rubus occidentalis
Black Tupelo,Nyssa sylvatica
Black Walnut,Juglans nigra
Black Willow,Salix nigra
Black-Eyed-Susan,Rudbeckia hirta
Blue Cohosh,Caulophyllum thalictroides
Bluebell-of-Scotland,Campanula rotundifolia
Bog Goldenrod,Solidago uliginosa
Bog-Rosemary,Andromeda polifolia
Bristly Dewberry,Rubus hispidus
Broad-Fruit Burr-Reed,Sparganium eurycarpum
Broad-Leaf Cat-Tail,Typha latifolia
Broad-Leaf Meadowsweet,Spiraea latifolia
Brown-Eyed-Susan,Rudbeckia triloba
Burr Oak,Quercus macrocarpa
Butterfly Milkweed,Asclepias tuberosa
Canadian Goldenrod,Solidago canadensis
Canadian Honewort,Cryptotaenia canadensis
Canadian Lily,Lilium canadense
Canadian Moonseed,Menispermum canadense
Canadian Waterweed,Elodea canadensis
Cardinal-Flower,Lobelia cardinalis
Carolina Horse-Nettle,Solanum carolinense
Carolina Rose,Rosa carolina
Carolina Springbeauty,Claytonia caroliniana
Chestnut Oak,Quercus montana
Chinaroot,Smilax hispida
Chinkapin Oak,Quercus muehlenbergii
Choke Cherry,Prunus virginiana
Christmas Fern,Polystichum acrostichoides
Chufa,Cyperus esculentus
Clammy Ground-Cherry,Physalis heterophylla
Climbing Rose,Rosa setigera
Closed Bottle Gentian,Gentiana andrewsii
Cock-Spur Hawthorn,Crataegus crus-galli
Common Blue American-Aster,Symphyotrichum cordifolium
Common Boneset,Eupatorium perfoliatum
Common Buttonbush,Cephalanthus occidentalis
Common Duckweed,Lemna minor
Common Hackberry,Celtis occidentalis
Common Hoptree,Ptelea trifoliata
Common Juniper,Juniperus communis
Common Milkweed,Asclepias syriaca
Common Pawpaw,Asimina triloba
Common Snowberry,Symphoricarpos albus
Common Winterberry,Ilex verticillata
Common Yarrow,Achillea millefolium
Coon's-Tail,Ceratophyllum demersum
Cottongrass Bulrush,Scirpus cyperinus
Cream Vetchling,Lathyrus ochroleucus
Creeping-Snowberry,Gaultheria hispidula
Crimson-Eye Rose-Mallow,Hibiscus moscheutos
Cucumber-Tree,Magnolia acuminata
Culver's-Root,Veronicastrum virginicum
Cursed Buttercup,Ranunculus sceleratus
Dark-Green Bulrush,Scirpus atrovirens
Deerberry,Vaccinium stamineum
Devil's-Walkingstick,Aralia spinosa
Dock-Leaf Smartweed,Persicaria lapathifolia
Dotted Hawthorn,Crataegus punctata
Downy Arrow-Wood,Viburnum rafinesquianum
Downy Service-Berry,Amelanchier arborea
Downy Yellow Violet,Viola pubescens
Duck-Potato,Sagittaria latifolia
Dwarf Scouring-Rush,Equisetum scirpoides
Early Azalea,Rhododendron prinophyllum
Early Goldenrod,Solidago juncea
Early Lowbush Blueberry,Vaccinium pallidum
Eastern Arborvitae,Thuja occidentalis
Eastern Cottonwood,Populus deltoides
Eastern Daisy Fleabane,Erigeron annuus
Eastern Hemlock,Tsuga canadensis
Eastern Hop-Hornbeam,Ostrya virginiana
Eastern Leatherwood,Dirca palustris
Eastern Red-Cedar,Juniperus virginiana
Eastern Teaberry,Gaultheria procumbens
Eastern Wahoo,Euonymus atropurpureus
Eastern White Pine,Pinus strobus
Elm-Leaf Goldenrod,Solidago ulmifolia
Fall Panic Grass,Panicum dichotomiflorum
Fall Sneezeweed,Helenium autumnale
Farewell-Summer,Symphyotrichum lateriflorum
Feathery False Solomon's-Seal,Maianthemum racemosum
Field Horsetail,Equisetum arvense
Field Pussytoes,Antennaria neglecta
Field Thistle,Cirsium discolor
Fire Cherry,Prunus pensylvanica
Flat-Top Goldentop,Euthamia graminifolia
Flowering Dogwood,Cornus florida
Flowering Spurge,Euphorbia corollata
Fowl Manna Grass,Glyceria striata
Fragrant Sumac,Rhus aromatica
Freshwater Cord Grass,Spartina pectinata
Giant Sunflower,Helianthus giganteus
Golden Alexanders,Zizia aurea
Golden Groundsel,Packera aurea
Grass-Leaf Arrowhead,Sagittaria graminea
Gray Birch,Betula populifolia
Gray Dogwood,Cornus racemosa
Gray Goldenrod,Solidago nemoralis
Gray Willow,Salix bebbiana
Great Blue Lobelia,Lobelia siphilitica
Great-Laurel,Rhododendron maximum
Green Arrow-Arum,Peltandra virginica
Green Ash,Fraxinus pennsylvanica
Green-Head Coneflower,Rudbeckia laciniata
Greendragon,Arisaema dracontium
Groundnut,Apios americana
Hairy Beardtongue,Penstemon hirsutus
Hairy Goldenrod,Solidago hispida
Hard-Leaf Flat-Top-Goldenrod,Solidago rigida
Harvestbells,Gentiana saponaria
Highbush Blueberry,Vaccinium corymbosum
Hoary Mountain-Mint,Pycnanthemum incanum
Hoary Puccoon,Lithospermum canescens
Hooded Blue Violet,Viola sororia
Horned-Pondweed,Zannichellia palustris
Horsebrier,Smilax rotundifolia
Illinois Pondweed,Potamogeton illinoensis
Indian-Hemp,Apocynum cannabinum
Jack-in-the-Pulpit,Arisaema triphyllum
Jumpseed,Persicaria virginiana
Kidney-Leaf Buttercup,Ranunculus abortivus
King's-Cureall,Oenothera biennis
Lance-Leaf Twistedstalk,Streptopus lanceolatus
Large Cranberry,Vaccinium macrocarpon
Large-Leaf Wood-Aster,Eurybia macrophylla
Late Goldenrod,Solidago gigantea
Late Purple American-Aster,Symphyotrichum patens
Leatherleaf,Chamaedaphne calyculata
Limestone Wild Basil,Clinopodium arkansanum
Little False Bluestem,Schizachyrium scoparium
Lizard's-Tail,Saururus cernuus
Long-Leaf Ground-Cherry,Physalis longifolia
Maple-Leaf Arrow-Wood,Viburnum acerifolium
Marsh Mermaidweed,Proserpinaca palustris
May-Apple,Podophyllum peltatum
Meadow Willow,Salix petiolaris
Missouri Willow,Salix eriocephala
Mockernut Hickory,Carya tomentosa
Moss Phlox,Phlox subulata
Mountain Holly,Ilex montana
Mountain Maple,Acer spicatum
Mountain-Laurel,Kalmia latifolia
Nanny-Berry,Viburnum lentago
Narrow-Leaf Evening-Primrose,Oenothera fruticosa
Narrow-Leaf Fireweed,Chamaenerion angustifolium
Narrow-Leaf Hawkweed,Hieracium umbellatum
Narrow-Leaf Mountain-Mint,Pycnanthemum tenuifolium
Neckweed,Veronica peregrina
New Belgium American-Aster,Symphyotrichum novi-belgii
New England American-Aster,Symphyotrichum novae-angliae
New Jersey-Tea,Ceanothus americanus
Northern Bedstraw,Galium boreale
Northern Bush-Honeysuckle,Diervilla lonicera
Northern Red Oak,Quercus rubra
Northern Spicebush,Lindera benzoin
Northern White Oak,Quercus alba
Obedient-Plant,Physostegia virginiana
Ohio Goldenrod,Solidago ohioensis
Ontario Gayfeather,Liatris cylindracea
Oswego-Tea,Monarda fistulosa
Pale Dogwood,Cornus obliqua
Pale Touch-Me-Not,Impatiens pallida
Partridge-Berry,Mitchella repens
Pearly-Everlasting,Anaphalis margaritacea
Philadelphia Fleabane,Erigeron philadelphicus
Pickerelweed,Pontederia cordata
Pignut Hickory,Carya glabra
Pin Oak,Quercus palustris
Pineapple-Weed,Matricaria discoidea
Pink Azalea,Rhododendron periclymenoides
Pinkweed,Persicaria pensylvanica
Poorman's-Pepperwort,Lepidium virginicum
Possumhaw,Viburnum nudum
Poverty Dropseed,Sporobolus vaginiflorus
Poverty Wild Oat Grass,Danthonia spicata
Prairie Willow,Salix humilis
Purple Chokeberry,Aronia prunifolia
Purple-Stem American-Aster,Symphyotrichum puniceum
Pussy Willow,Salix discolor
Quaking Aspen,Populus tremuloides
Red Baneberry,Actaea rubra
Red Bearberry,Arctostaphylos uva-ursi
Red Columbine,Aquilegia canadensis
Red Elder,Sambucus racemosa
Red Maple,Acer rubrum
Red Mulberry,Morus rubra
Red Osier,Cornus alba
Red Pine,Pinus resinosa
Red-Ring Milkweed,Asclepias variegata
Rice Cut Grass,Leersia oryzoides
River Club-Rush,Schoenoplectus fluviatilis
River-Bank Grape,Vitis riparia
Robin's-Plantain,Erigeron pulchellus
Rock Elm,Ulmus thomasii
Rough Barnyard Grass,Echinochloa muricata
Rough Hawkweed,Hieracium scabrum
Rough-Leaf Dogwood,Cornus drummondii
Round-Leaf Service-Berry,Amelanchier sanguinea
Rufous Bulrush,Scirpus pendulus
Running Strawberry-Bush,Euonymus obovatus
Russet Buffalo-Berry,Shepherdia canadensis
Rusty Labrador-Tea,Rhododendron groenlandicum
Sandbar Willow,Salix interior
Sassafras,Sassafras albidum
Scaldweed,Cuscuta gronovii
Scarlet Beebalm,Monarda didyma
Scarlet Indian-Paintbrush,Castilleja coccinea
Sea Vetchling,Lathyrus japonicus
Seaside Goldenrod,Solidago sempervirens
Shag-Bark Hickory,Carya ovata
Shell-Bark Hickory,Carya laciniosa
Shumard's Oak,Quercus shumardii
Silky Dogwood,Cornus amomum
Silver Maple,Acer saccharinum
Simpler's-Joy,Verbena hastata
Skunk Currant,Ribes glandulosum
Skunk-Cabbage,Symplocarpus foetidus
Sleepingplant,Chamaecrista fasciculata
Slippery Elm,Ulmus rubra
Small Cranberry,Vaccinium oxycoccos
Small Dropseed,Sporobolus neglectus
Small Evening-Primrose,Oenothera perennis
Small-Spike False Nettle,Boehmeria cylindrica
Smooth Arrow-Wood,Viburnum recognitum
Smooth Blue American-Aster,Symphyotrichum laeve
Smooth Carrion-Flower,Smilax herbacea
Smooth Oxeye,Heliopsis helianthoides
Smooth Sumac,Rhus glabra
Soft-Stem Club-Rush,Schoenoplectus tabernaemontani
Spotted Crane's-Bill,Geranium maculatum
Spotted Touch-Me-Not,Impatiens capensis
Spotted Trumpetweed,Eutrochium maculatum
Spotted Water-Hemlock,Cicuta maculata
Spreading Dogbane,Apocynum androsaemifolium
Stag-Horn Sumac,Rhus typhina
Starry False Solomon's-Seal,Maianthemum stellatum
Striped Cream Violet,Viola striata
Striped Maple,Acer pensylvanicum
Sugar Maple,Acer saccharum
Sundial Lupine,Lupinus perennis
Swamp Fly-Honeysuckle,Lonicera oblongifolia
Swamp Milkweed,Asclepias incarnata
Swamp Red Currant,Ribes triste
Swamp Rose,Rosa palustris
Swamp Smartweed,Persicaria hydropiperoides
Swamp White Oak,Quercus bicolor
Swamp-Loosestrife,Decodon verticillatus
Sweet Birch,Betula lenta
Sweet White Violet,Viola blanda
Sweet-Fern,Comptonia peregrina
Sweet-Scented Joe-Pye-Weed,Eutrochium purpureum
Tall Goldenrod,Solidago altissima
Tall Redtop,Tridens flavus
Tall Scouring-Rush,Equisetum hyemale
Thicket-Creeper,Parthenocissus inserta
Three-Leaf Goldthread,Coptis trifolia
Three-Lobe Beggarticks,Bidens tripartita
Three-Square,Schoenoplectus pungens
Toad Rush,Juncus bufonius
Toothachetree,Zanthoxylum americanum
Trailing-Arbutus,Epigaea repens
